timestamp,platform,gpu_name,model_name,mode,batch_size,input_tokens,max_new_tokens,output_tokens,dtype,use_cache,peak_allocated_MB,peak_reserved_MB,final_allocated_MB,final_reserved_MB,runtime_sec,oom,error_message,total_tokens,generated_tokens,allocated_minus_final_MB,reserved_minus_allocated_MB,peak_allocated_per_sample_MB,runtime_per_sample_sec
2026-05-27T08:41:05.329963,colab,Tesla T4,sshleifer/tiny-gpt2,inference,1,32,32,64,fp32,True,12.5,26.0,11.91,26.0,0.872,False,,64,32,0.5899999999999999,13.5,12.5,0.872
2026-05-28T05:07:48.952046,colab,Tesla T4,sshleifer/tiny-gpt2,inference,1,64,32,96,fp32,True,12.5,26.0,11.92,26.0,0.888,False,,96,32,0.5800000000000001,13.5,12.5,0.888
2026-05-28T05:15:38.916350,colab,Tesla T4,sshleifer/tiny-gpt2,inference,1,16,32,48,fp32,True,12.5,26.0,11.91,26.0,0.126,False,,48,32,0.5899999999999999,13.5,12.5,0.126
2026-05-28T05:15:40.173618,colab,Tesla T4,sshleifer/tiny-gpt2,inference,1,32,32,64,fp32,True,12.5,26.0,11.91,26.0,0.086,False,,64,32,0.5899999999999999,13.5,12.5,0.086
2026-05-28T05:15:41.334981,colab,Tesla T4,sshleifer/tiny-gpt2,inference,1,64,32,96,fp32,True,12.5,26.0,11.92,26.0,0.085,False,,96,32,0.5800000000000001,13.5,12.5,0.085
2026-05-28T05:15:42.521992,colab,Tesla T4,sshleifer/tiny-gpt2,inference,1,128,32,160,fp32,True,12.51,26.0,11.92,26.0,0.133,False,,160,32,0.5899999999999999,13.49,12.51,0.133
2026-05-28T05:15:43.798074,colab,Tesla T4,sshleifer/tiny-gpt2,inference,1,256,32,288,fp32,True,12.51,26.0,11.92,26.0,0.144,False,,288,32,0.5899999999999999,13.49,12.51,0.144
2026-05-28T05:15:45.171141,colab,Tesla T4,sshleifer/tiny-gpt2,inference,1,512,32,544,fp32,True,12.53,26.0,11.93,26.0,0.09,False,,544,32,0.5999999999999996,13.47,12.53,0.09
2026-05-28T05:48:42.113673,colab,Tesla T4,sshleifer/tiny-gpt2,inference,1,64,8,72,fp32,True,12.5,26.0,11.92,26.0,1.006,False,,72,8,0.5800000000000001,13.5,12.5,1.006
2026-05-28T05:48:50.411226,colab,Tesla T4,sshleifer/tiny-gpt2,inference,1,64,16,80,fp32,True,12.5,26.0,11.92,26.0,0.051,False,,80,16,0.5800000000000001,13.5,12.5,0.051
2026-05-28T05:48:51.534540,colab,Tesla T4,sshleifer/tiny-gpt2,inference,1,64,32,96,fp32,True,12.5,26.0,11.92,26.0,0.09,False,,96,32,0.5800000000000001,13.5,12.5,0.09
2026-05-28T05:48:52.698390,colab,Tesla T4,sshleifer/tiny-gpt2,inference,1,64,64,128,fp32,True,12.5,26.0,11.92,26.0,0.24,False,,128,64,0.5800000000000001,13.5,12.5,0.24
2026-05-28T05:48:54.026881,colab,Tesla T4,sshleifer/tiny-gpt2,inference,1,64,128,192,fp32,True,12.5,26.0,11.92,26.0,0.62,False,,192,128,0.5800000000000001,13.5,12.5,0.62
2026-05-28T05:48:55.742856,colab,Tesla T4,sshleifer/tiny-gpt2,inference,1,64,256,320,fp32,True,12.51,26.0,11.92,26.0,0.709,False,,320,256,0.5899999999999999,13.49,12.51,0.709
2026-05-28T06:26:15.901562,colab,Tesla T4,sshleifer/tiny-gpt2,inference,1,64,128,192,fp32,True,12.5,26.0,11.92,26.0,1.367,False,,192,128,0.5800000000000001,13.5,12.5,1.367
2026-05-28T06:26:23.927835,colab,Tesla T4,sshleifer/tiny-gpt2,inference,1,64,128,192,fp32,True,12.5,26.0,11.92,26.0,0.55,False,,192,128,0.5800000000000001,13.5,12.5,0.55
2026-05-28T06:26:25.709714,colab,Tesla T4,sshleifer/tiny-gpt2,inference,1,64,128,192,fp32,True,12.5,26.0,11.92,26.0,0.382,False,,192,128,0.5800000000000001,13.5,12.5,0.382
2026-05-28T06:26:27.260149,colab,Tesla T4,sshleifer/tiny-gpt2,inference,1,64,128,192,fp32,False,12.5,26.0,11.92,26.0,0.562,False,,192,128,0.5800000000000001,13.5,12.5,0.562
2026-05-28T06:26:29.053665,colab,Tesla T4,sshleifer/tiny-gpt2,inference,1,64,128,192,fp32,False,12.5,26.0,11.92,26.0,0.373,False,,192,128,0.5800000000000001,13.5,12.5,0.373
2026-05-28T06:26:30.645974,colab,Tesla T4,sshleifer/tiny-gpt2,inference,1,64,128,192,fp32,False,12.5,26.0,11.92,26.0,0.382,False,,192,128,0.5800000000000001,13.5,12.5,0.382
