model_name,task,batch_size,input_tokens,max_new_tokens,fp32_peak_allocated_MB,fp16_peak_allocated_MB,fp32_peak_reserved_MB,fp16_peak_reserved_MB,source_note,allocated_reduction_MB,allocated_reduction_percent,reserved_reduction_MB,reserved_reduction_percent
distilgpt2,inference,1,64,128,343.41,181.25,,,distilgpt2 fp32/fp16 inference precision experiment,162.16000000000003,47.220523572406165,,
gpt2,inference,1,128,128,504.11,264.78,558.0,268.0,gpt2 fp32/fp16 inference validation,239.33000000000004,47.47574934042174,290.0,51.971326164874554
