safety_margin,safety_margin_percent,total_cases,correct_cases,dangerous_failures,conservative_failures,accuracy_percent,dangerous_failure_rate_percent,conservative_failure_rate_percent
0.0,0.0,112,102,7,3,91.07142857142857,6.25,2.6785714285714284
0.05,5.0,112,103,0,9,91.96428571428571,0.0,8.035714285714286
0.1,10.0,112,97,0,15,86.60714285714286,0.0,13.392857142857142
0.15,15.0,112,96,0,16,85.71428571428571,0.0,14.285714285714285
