estimator,allocated_MRE,allocated_mean_error,allocated_max_error
Day 13 Improved Base,5.673500668103441,30.37134486486271,69.7979267578125
Day 14 Improved + KV,3.752375772873444,30.18712553806509,69.7979267578125
Day 15 Precision Aware,4.204764299257073,30.243674103863043,69.7979267578125
Day 17 Combined,4.204764299257073,30.243674103863043,69.7979267578125
