model_name,total_cases,correct_cases,dangerous_failures,conservative_failures,accuracy_percent,dangerous_failure_rate_percent,conservative_failure_rate_percent
distilgpt2,420,418,0,2,99.52380952380952,0.0,0.4761904761904762
sshleifer/tiny-gpt2,300,260,40,0,86.66666666666667,13.333333333333334,0.0
