safety_margin,safety_margin_percent,model_name,batch_size,input_tokens,dtype,optimizer_name,memory_limit_MB,actual_peak_allocated_MB,predicted_peak_allocated_MB,actual_peak_reserved_MB,predicted_peak_reserved_MB,safe_predicted_reserved_MB,actual_fits,predicted_fits,correct_prediction,dangerous_failure,conservative_failure,outcome
0.0,0.0,distilgpt2,1,32,fp32,adamw,768,1592.43,1512.9896855468749,1700.0,1634.028860390625,1634.028860390625,False,False,True,False,False,correct
0.0,0.0,distilgpt2,1,32,fp32,adamw,1024,1592.43,1512.9896855468749,1700.0,1634.028860390625,1634.028860390625,False,False,True,False,False,correct
0.0,0.0,distilgpt2,1,32,fp32,adamw,1200,1592.43,1512.9896855468749,1700.0,1634.028860390625,1634.028860390625,False,False,True,False,False,correct
0.0,0.0,distilgpt2,1,32,fp32,adamw,1300,1592.43,1512.9896855468749,1700.0,1634.028860390625,1634.028860390625,False,False,True,False,False,correct
0.0,0.0,distilgpt2,1,32,fp32,adamw,1400,1592.43,1512.9896855468749,1700.0,1634.028860390625,1634.028860390625,False,False,True,False,False,correct
0.0,0.0,distilgpt2,1,32,fp32,adamw,1500,1592.43,1512.9896855468749,1700.0,1634.028860390625,1634.028860390625,False,False,True,False,False,correct
0.0,0.0,distilgpt2,1,32,fp32,adamw,1600,1592.43,1512.9896855468749,1700.0,1634.028860390625,1634.028860390625,False,False,True,False,False,correct
0.0,0.0,distilgpt2,1,32,fp32,adamw,1700,1592.43,1512.9896855468749,1700.0,1634.028860390625,1634.028860390625,True,True,True,False,False,correct
0.0,0.0,distilgpt2,1,32,fp32,adamw,1800,1592.43,1512.9896855468749,1700.0,1634.028860390625,1634.028860390625,True,True,True,False,False,correct
0.0,0.0,distilgpt2,1,32,fp32,adamw,1900,1592.43,1512.9896855468749,1700.0,1634.028860390625,1634.028860390625,True,True,True,False,False,correct
0.0,0.0,distilgpt2,1,32,fp32,adamw,2000,1592.43,1512.9896855468749,1700.0,1634.028860390625,1634.028860390625,True,True,True,False,False,correct
0.0,0.0,distilgpt2,1,32,fp32,adamw,2048,1592.43,1512.9896855468749,1700.0,1634.028860390625,1634.028860390625,True,True,True,False,False,correct
0.0,0.0,distilgpt2,1,32,fp32,adamw,2200,1592.43,1512.9896855468749,1700.0,1634.028860390625,1634.028860390625,True,True,True,False,False,correct
0.0,0.0,distilgpt2,1,32,fp32,adamw,2400,1592.43,1512.9896855468749,1700.0,1634.028860390625,1634.028860390625,True,True,True,False,False,correct
0.0,0.0,distilgpt2,1,32,fp32,adamw,2600,1592.43,1512.9896855468749,1700.0,1634.028860390625,1634.028860390625,True,True,True,False,False,correct
0.0,0.0,distilgpt2,1,32,fp32,adamw,2800,1592.43,1512.9896855468749,1700.0,1634.028860390625,1634.028860390625,True,True,True,False,False,correct
0.0,0.0,distilgpt2,1,32,fp32,adamw,3072,1592.43,1512.9896855468749,1700.0,1634.028860390625,1634.028860390625,True,True,True,False,False,correct
0.0,0.0,distilgpt2,1,32,fp32,adamw,4096,1592.43,1512.9896855468749,1700.0,1634.028860390625,1634.028860390625,True,True,True,False,False,correct
0.0,0.0,distilgpt2,1,32,fp32,adamw,8192,1592.43,1512.9896855468749,1700.0,1634.028860390625,1634.028860390625,True,True,True,False,False,correct
0.0,0.0,distilgpt2,1,64,fp32,adamw,768,1600.69,1552.9860605468748,1738.0,1677.2249453906247,1677.2249453906247,False,False,True,False,False,correct
0.0,0.0,distilgpt2,1,64,fp32,adamw,1024,1600.69,1552.9860605468748,1738.0,1677.2249453906247,1677.2249453906247,False,False,True,False,False,correct
0.0,0.0,distilgpt2,1,64,fp32,adamw,1200,1600.69,1552.9860605468748,1738.0,1677.2249453906247,1677.2249453906247,False,False,True,False,False,correct
0.0,0.0,distilgpt2,1,64,fp32,adamw,1300,1600.69,1552.9860605468748,1738.0,1677.2249453906247,1677.2249453906247,False,False,True,False,False,correct
0.0,0.0,distilgpt2,1,64,fp32,adamw,1400,1600.69,1552.9860605468748,1738.0,1677.2249453906247,1677.2249453906247,False,False,True,False,False,correct
0.0,0.0,distilgpt2,1,64,fp32,adamw,1500,1600.69,1552.9860605468748,1738.0,1677.2249453906247,1677.2249453906247,False,False,True,False,False,correct
0.0,0.0,distilgpt2,1,64,fp32,adamw,1600,1600.69,1552.9860605468748,1738.0,1677.2249453906247,1677.2249453906247,False,False,True,False,False,correct
0.0,0.0,distilgpt2,1,64,fp32,adamw,1700,1600.69,1552.9860605468748,1738.0,1677.2249453906247,1677.2249453906247,False,True,False,True,False,dangerous_underprediction
0.0,0.0,distilgpt2,1,64,fp32,adamw,1800,1600.69,1552.9860605468748,1738.0,1677.2249453906247,1677.2249453906247,True,True,True,False,False,correct
0.0,0.0,distilgpt2,1,64,fp32,adamw,1900,1600.69,1552.9860605468748,1738.0,1677.2249453906247,1677.2249453906247,True,True,True,False,False,correct
0.0,0.0,distilgpt2,1,64,fp32,adamw,2000,1600.69,1552.9860605468748,1738.0,1677.2249453906247,1677.2249453906247,True,True,True,False,False,correct
0.0,0.0,distilgpt2,1,64,fp32,adamw,2048,1600.69,1552.9860605468748,1738.0,1677.2249453906247,1677.2249453906247,True,True,True,False,False,correct
0.0,0.0,distilgpt2,1,64,fp32,adamw,2200,1600.69,1552.9860605468748,1738.0,1677.2249453906247,1677.2249453906247,True,True,True,False,False,correct
0.0,0.0,distilgpt2,1,64,fp32,adamw,2400,1600.69,1552.9860605468748,1738.0,1677.2249453906247,1677.2249453906247,True,True,True,False,False,correct
