optimizer_name,num_rows,allocated_mean_error,allocated_median_error,allocated_max_error,reserved_mean_error,reserved_median_error,reserved_max_error,avg_actual_allocated_MB,avg_predicted_allocated_MB,avg_actual_reserved_MB,avg_predicted_reserved_MB
adamw,7,13.05369115167267,15.642550650235295,17.74312881884919,12.725520283942599,16.11796166570771,16.783897573529416,1610.8,1401.3033794642856,1733.4285714285713,1513.4076498214285
sgd,1,24.208710036173926,24.208710036173926,24.208710036173926,23.9872817354369,23.9872817354369,23.9872817354369,956.49,724.936109375,1030.0,782.930998125
