safety_margin,safety_margin_percent,total_cases,correct_cases,dangerous_failures,conservative_failures,accuracy_percent,dangerous_failure_rate_percent,conservative_failure_rate_percent
0.0,0.0,266,256,8,2,96.2406015037594,3.007518796992481,0.7518796992481203
0.02,2.0,266,259,4,3,97.36842105263158,1.5037593984962405,1.1278195488721803
0.05,5.0,266,257,1,8,96.61654135338345,0.37593984962406013,3.007518796992481
0.075,7.5,266,253,0,13,95.11278195488721,0.0,4.887218045112782
0.1,10.0,266,250,0,16,93.98496240601504,0.0,6.015037593984962
0.15,15.0,266,239,0,27,89.84962406015038,0.0,10.150375939849624
