dtype,num_rows,allocated_mean_error,allocated_median_error,allocated_max_error,reserved_mean_error,reserved_median_error,reserved_max_error,avg_actual_allocated_MB,avg_predicted_allocated_MB,avg_actual_reserved_MB,avg_predicted_reserved_MB
fp16,1,2.017174634496093,2.017174634496093,2.017174634496093,5.223880597014925,5.223880597014925,5.223880597014925,264.78,259.4389250027812,268.0,282.0
fp32,12,2.5395173510102094,2.9732566856658207,5.093826663097762,2.039372435669964,2.04444134856506,3.7037037037037033,522.4016666666668,524.87262046875,569.8333333333334,570.6666666666666
