subset,MRE,mean_error,max_error,num_rows
all_rows,4.545454545454545,23.81308834025933,53.84615384615385,48
distilgpt2_only,2.197802197802198,2.36089869319182,5.729166666666666,28
tiny_gpt2_only,53.84615384615385,53.84615384615385,53.84615384615385,20
