estimator,MRE,Mean Error,Max Error,Min Error
Day 11 Base,6.817565007100576,42.4640300566115,95.13842044238284,1.0521897941643268
Day 13 Improved Base,5.673500668103441,30.37134486486271,69.7979267578125,0.38061995160091555
