estimator,MRE,Mean Error,Max Error,Min Error
Day 13 Improved Base,5.673500668103441,30.37134486486271,69.7979267578125,0.3806199516009155
Day 14 Improved + KV,3.752375772873444,30.18712553806509,69.7979267578125,0.15028352792038122
