model_name,batch_size,input_tokens,dtype,optimizer_name,memory_limit_MB,actual_peak_allocated_MB,predicted_peak_allocated_MB,actual_peak_reserved_MB,predicted_peak_reserved_MB,actual_fits,predicted_fits,correct_prediction,dangerous_failure,conservative_failure,outcome
distilgpt2,1,32,fp32,adamw,768,1592.43,1512.9896855468749,1700.0,1634.028860390625,False,False,True,False,False,correct
distilgpt2,1,32,fp32,adamw,1024,1592.43,1512.9896855468749,1700.0,1634.028860390625,False,False,True,False,False,correct
distilgpt2,1,32,fp32,adamw,1200,1592.43,1512.9896855468749,1700.0,1634.028860390625,False,False,True,False,False,correct
distilgpt2,1,32,fp32,adamw,1300,1592.43,1512.9896855468749,1700.0,1634.028860390625,False,False,True,False,False,correct
distilgpt2,1,32,fp32,adamw,1400,1592.43,1512.9896855468749,1700.0,1634.028860390625,False,False,True,False,False,correct
distilgpt2,1,32,fp32,adamw,1500,1592.43,1512.9896855468749,1700.0,1634.028860390625,False,False,True,False,False,correct
distilgpt2,1,32,fp32,adamw,1600,1592.43,1512.9896855468749,1700.0,1634.028860390625,False,False,True,False,False,correct
distilgpt2,1,32,fp32,adamw,1700,1592.43,1512.9896855468749,1700.0,1634.028860390625,True,True,True,False,False,correct
distilgpt2,1,32,fp32,adamw,1800,1592.43,1512.9896855468749,1700.0,1634.028860390625,True,True,True,False,False,correct
distilgpt2,1,32,fp32,adamw,1900,1592.43,1512.9896855468749,1700.0,1634.028860390625,True,True,True,False,False,correct
distilgpt2,1,32,fp32,adamw,2000,1592.43,1512.9896855468749,1700.0,1634.028860390625,True,True,True,False,False,correct
distilgpt2,1,32,fp32,adamw,2048,1592.43,1512.9896855468749,1700.0,1634.028860390625,True,True,True,False,False,correct
distilgpt2,1,32,fp32,adamw,2200,1592.43,1512.9896855468749,1700.0,1634.028860390625,True,True,True,False,False,correct
distilgpt2,1,32,fp32,adamw,2400,1592.43,1512.9896855468749,1700.0,1634.028860390625,True,True,True,False,False,correct
distilgpt2,1,32,fp32,adamw,2600,1592.43,1512.9896855468749,1700.0,1634.028860390625,True,True,True,False,False,correct
distilgpt2,1,32,fp32,adamw,2800,1592.43,1512.9896855468749,1700.0,1634.028860390625,True,True,True,False,False,correct
distilgpt2,1,32,fp32,adamw,3072,1592.43,1512.9896855468749,1700.0,1634.028860390625,True,True,True,False,False,correct
