dtype,avg_parameter_memory_MB,avg_reduction_percent,min_reduction_percent,max_reduction_percent
fp32,393.5859375,0.0,0.0,0.0
fp16,196.79296875,50.00000000854451,49.99999996708449,50.00000005000453
int8,98.396484375,75.00000000427225,74.99999998354224,75.00000002500227
int4,49.1982421875,87.50000000213613,87.49999999177113,87.50000001250113
