optimizer_name,total_cases,correct_cases,dangerous_failures,conservative_failures,accuracy_percent,dangerous_failure_rate_percent,conservative_failure_rate_percent
adamw,190,183,5,2,96.3157894736842,2.631578947368421,1.0526315789473684
sgd,76,73,3,0,96.05263157894737,3.9473684210526314,0.0
