optimizer_name,parameter_memory_MB,gradient_memory_MB,optimizer_state_memory_MB,activation_memory_MB,framework_overhead_MB
adamw,312.4716796875,312.4716796875,624.943359375,131.4166607142857,20.0
sgd,312.4716796875,312.4716796875,0.0,79.99275,20.0
