model_name,num_rows,allocated_mean_error,allocated_median_error,allocated_max_error,reserved_mean_error,reserved_median_error,reserved_max_error,avg_actual_allocated_MB,avg_predicted_allocated_MB,avg_actual_reserved_MB,avg_predicted_reserved_MB
distilgpt2,8,3.4625066582595516,2.9771727367963567,8.767998067668923,3.8682107808412485,3.4968385851194057,9.524969196302317,1529.01125,1519.8640624999998,1645.5,1641.4531874999998
gpt2,6,3.9305437923318656,3.6466055512090376,6.674091878636817,4.859069716844975,5.2627948805918,6.9155871251351,1846.3733333333332,1823.2278085937498,2022.6666666666667,1969.08603328125
