optimizer_name,num_rows,allocated_mean_error,allocated_median_error,allocated_max_error,reserved_mean_error,reserved_median_error,reserved_max_error,avg_actual_allocated_MB,avg_predicted_allocated_MB,avg_actual_reserved_MB,avg_predicted_reserved_MB
adamw,10,3.398684434095748,2.9650534577534975,8.767998067668923,4.007273385794097,3.4968385851194057,9.524969196302317,1851.074,1833.8268898437498,2005.4,1980.5330410312497
sgd,4,6.774261253901518,6.296124394744226,12.774707810262004,7.464144231172242,6.405137648738426,12.519874461468444,1199.8975,1166.5672373046875,1311.5,1259.8926162890625
