dtype,num_rows,mean_error,median_error,max_error,avg_actual_MB,avg_predicted_MB
fp16,3,5.336898410525872,5.336898410525872,5.336898410525872,181.25,171.57687163092183
fp32,45,31.904125816752188,2.8711585436039386,69.7979267578125,196.24644444444445,192.68174324093965
