batch_size,image_size,layer_name,activation_shape,activation_memory_MB
8,224,input,8 x 3 x 224 x 224,4.59375
8,224,conv1_output,8 x 32 x 224 x 224,49.0
8,224,pool1_output,8 x 32 x 112 x 112,12.25
8,224,conv2_output,8 x 64 x 112 x 112,24.5
8,224,pool2_output,8 x 64 x 56 x 56,6.125
8,224,conv3_output,8 x 128 x 56 x 56,12.25
8,224,avgpool_output,8 x 128 x 1 x 1,0.00390625
8,384,input,8 x 3 x 384 x 384,13.5
8,384,conv1_output,8 x 32 x 384 x 384,144.0
8,384,pool1_output,8 x 32 x 192 x 192,36.0
8,384,conv2_output,8 x 64 x 192 x 192,72.0
8,384,pool2_output,8 x 64 x 96 x 96,18.0
8,384,conv3_output,8 x 128 x 96 x 96,36.0
8,384,avgpool_output,8 x 128 x 1 x 1,0.00390625
