input_tokens,num_rows,allocated_mean_error,allocated_median_error,allocated_max_error,reserved_mean_error,reserved_median_error,reserved_max_error,avg_actual_allocated_MB,avg_predicted_allocated_MB,avg_actual_reserved_MB,avg_predicted_reserved_MB
32,2,5.027568449243121,5.027568449243121,5.281476499585164,4.850871460629005,4.850871460629005,5.536432115467303,1837.19,1813.4173378906253,2002.0,1958.4907249218752
64,2,5.961103040084206,5.961103040084206,9.402655376651413,5.639342148609729,5.639342148609729,6.28952665150316,1844.395,1874.178962890625,2046.0,2024.113279921875
128,2,9.83067839935781,9.83067839935781,17.69364235248657,9.062925733367528,9.062925733367528,16.833725390069333,1857.5349999999999,1995.702212890625,2020.0,2155.3583899218747
