experiment_type,num_rows,allocated_mean_error,allocated_median_error,allocated_max_error,reserved_mean_error,reserved_median_error,reserved_max_error,avg_actual_allocated_MB,avg_predicted_allocated_MB,avg_actual_reserved_MB,avg_predicted_reserved_MB
distilgpt2_batch_size_variation,3,4.251811024870201,2.9498959156803415,8.767998067668923,5.067082226689141,3.4968385851194057,9.524969196302317,1621.61,1659.643060546875,1744.0,1792.414505390625
distilgpt2_optimizer_comparison,2,2.9847479573699083,2.9847479573699083,2.995361440973756,3.0937534058788736,3.0937534058788736,3.4968385851194057,1278.7150000000001,1240.5143808593748,1384.0,1339.755531328125
distilgpt2_sequence_length_variation,3,2.991708092241998,2.980210999826653,4.988622071496091,3.185644251634939,3.4968385851194057,3.880655271139711,1603.2766666666666,1566.318185546875,1721.3333333333333,1691.6236403906248
