model_name,batch_size,input_tokens,optimizer_name,experiment_type,memory_limit_MB,actual_peak_reserved_MB,predicted_peak_reserved_MB,actual_peak_allocated_MB,predicted_peak_allocated_MB,actual_fits,predicted_fits,correct_prediction,dangerous_failure,conservative_failure,outcome
distilgpt2,1,128,adamw,distilgpt2_sequence_length_variation,8192,1726.0,1763.6171153906248,1616.71,1632.978810546875,True,True,True,False,False,correct
distilgpt2,1,64,adamw,distilgpt2_batch_size_variation,512,1738.0,1677.2249453906247,1600.19,1552.9860605468748,False,False,True,False,False,correct
distilgpt2,1,64,adamw,distilgpt2_batch_size_variation,768,1738.0,1677.2249453906247,1600.19,1552.9860605468748,False,False,True,False,False,correct
distilgpt2,1,64,adamw,distilgpt2_batch_size_variation,1024,1738.0,1677.2249453906247,1600.19,1552.9860605468748,False,False,True,False,False,correct
distilgpt2,1,64,adamw,distilgpt2_batch_size_variation,1200,1738.0,1677.2249453906247,1600.19,1552.9860605468748,False,False,True,False,False,correct
distilgpt2,1,64,adamw,distilgpt2_batch_size_variation,1400,1738.0,1677.2249453906247,1600.19,1552.9860605468748,False,False,True,False,False,correct
distilgpt2,1,64,adamw,distilgpt2_batch_size_variation,1500,1738.0,1677.2249453906247,1600.19,1552.9860605468748,False,False,True,False,False,correct
distilgpt2,1,64,adamw,distilgpt2_batch_size_variation,1600,1738.0,1677.2249453906247,1600.19,1552.9860605468748,False,False,True,False,False,correct
distilgpt2,1,64,adamw,distilgpt2_batch_size_variation,1700,1738.0,1677.2249453906247,1600.19,1552.9860605468748,False,True,False,True,False,dangerous_underprediction
distilgpt2,1,64,adamw,distilgpt2_batch_size_variation,1725,1738.0,1677.2249453906247,1600.19,1552.9860605468748,False,True,False,True,False,dangerous_underprediction
distilgpt2,1,64,adamw,distilgpt2_batch_size_variation,1750,1738.0,1677.2249453906247,1600.19,1552.9860605468748,True,True,True,False,False,correct
distilgpt2,1,64,adamw,distilgpt2_batch_size_variation,1800,1738.0,1677.2249453906247,1600.19,1552.9860605468748,True,True,True,False,False,correct
distilgpt2,1,64,adamw,distilgpt2_batch_size_variation,2048,1738.0,1677.2249453906247,1600.19,1552.9860605468748,True,True,True,False,False,correct
distilgpt2,1,64,adamw,distilgpt2_batch_size_variation,4096,1738.0,1677.2249453906247,1600.19,1552.9860605468748,True,True,True,False,False,correct
distilgpt2,1,64,adamw,distilgpt2_batch_size_variation,8192,1738.0,1677.2249453906247,1600.19,1552.9860605468748,True,True,True,False,False,correct
distilgpt2,2,64,adamw,distilgpt2_batch_size_variation,512,1726.0,1763.6171153906248,1616.21,1632.978810546875,False,False,True,False,False,correct
distilgpt2,2,64,adamw,distilgpt2_batch_size_variation,768,1726.0,1763.6171153906248,1616.21,1632.978810546875,False,False,True,False,False,correct
distilgpt2,2,64,adamw,distilgpt2_batch_size_variation,1024,1726.0,1763.6171153906248,1616.21,1632.978810546875,False,False,True,False,False,correct
distilgpt2,2,64,adamw,distilgpt2_batch_size_variation,1200,1726.0,1763.6171153906248,1616.21,1632.978810546875,False,False,True,False,False,correct
distilgpt2,2,64,adamw,distilgpt2_batch_size_variation,1400,1726.0,1763.6171153906248,1616.21,1632.978810546875,False,False,True,False,False,correct
distilgpt2,2,64,adamw,distilgpt2_batch_size_variation,1500,1726.0,1763.6171153906248,1616.21,1632.978810546875,False,False,True,False,False,correct
distilgpt2,2,64,adamw,distilgpt2_batch_size_variation,1600,1726.0,1763.6171153906248,1616.21,1632.978810546875,False,False,True,False,False,correct
