model_name,batch_size,input_tokens,dtype,optimizer_name,actual_peak_allocated_MB,actual_peak_reserved_MB,v2_predicted_allocated_MB,v2_allocated_error_percent,v2_predicted_reserved_MB,v2_reserved_error_percent,v3_predicted_allocated_MB,v3_allocated_error_percent,v3_predicted_reserved_MB,v3_reserved_error_percent,v3_backward_temp_factor,v4_predicted_allocated_MB,v4_allocated_error_percent,v4_predicted_reserved_MB,v4_reserved_error_percent,v4_backward_temp_factor,num_parameters,v4_vs_v2_allocated_improvement_pp,v4_vs_v2_reserved_improvement_pp,v4_vs_v3_allocated_improvement_pp,v4_vs_v3_reserved_improvement_pp
distilgpt2,1,32,fp32,adamw,1592.43,1700.0,1512.9896855468749,4.988622071496091,1634.028860390625,3.880655271139711,1512.9896855468749,4.988622071496091,1634.028860390625,3.880655271139711,0.65,1512.9896855468749,4.988622071496091,1634.028860390625,3.880655271139711,0.65,81912576,0.0,0.0,0.0,0.0
distilgpt2,1,64,fp32,adamw,1600.69,1738.0,1552.9860605468748,2.980210999826653,1677.2249453906247,3.4968385851194057,1552.9860605468748,2.980210999826653,1677.2249453906247,3.4968385851194057,0.65,1552.9860605468748,2.980210999826653,1677.2249453906247,3.4968385851194057,0.65,81912576,0.0,0.0,0.0,0.0
distilgpt2,1,128,fp32,adamw,1616.71,1726.0,1632.978810546875,1.0062912054032491,1763.6171153906248,2.179438898645701,1632.978810546875,1.0062912054032491,1763.6171153906248,2.179438898645701,0.65,1632.978810546875,1.0062912054032493,1763.6171153906248,2.179438898645701,0.65,81912576,-2.220446049250313e-16,0.0,-2.220446049250313e-16,0.0
distilgpt2,1,64,fp32,adamw,1600.19,1738.0,1552.9860605468748,2.949895915680341,1677.2249453906247,3.4968385851194057,1552.9860605468748,2.949895915680341,1677.2249453906247,3.4968385851194057,0.65,1552.9860605468748,2.9498959156803415,1677.2249453906247,3.4968385851194057,0.65,81912576,-4.440892098500626e-16,0.0,-4.440892098500626e-16,0.0
distilgpt2,2,64,fp32,adamw,1616.21,1726.0,1632.978810546875,1.0375390912613385,1763.6171153906248,2.179438898645701,1632.978810546875,1.0375390912613385,1763.6171153906248,2.179438898645701,0.65,1632.978810546875,1.0375390912613383,1763.6171153906248,2.179438898645701,0.65,81912576,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0
distilgpt2,4,64,fp32,adamw,1648.43,1768.0,1792.964310546875,8.767998067668923,1936.401455390625,9.524969196302315,1792.964310546875,8.767998067668923,1936.401455390625,9.524969196302315,0.65,1792.964310546875,8.767998067668923,1936.401455390625,9.524969196302317,0.65,81912576,0.0,-1.7763568394002505e-15,0.0,-1.7763568394002505e-15
distilgpt2,1,64,fp32,sgd,956.49,1030.0,928.042701171875,2.97413447376606,1002.2861172656252,2.690668226638341,834.301197265625,12.774707810262004,901.045293046875,12.519874461468444,0.35,928.042701171875,2.97413447376606,1002.2861172656251,2.6906682266383415,0.65,81912576,0.0,-4.440892098500626e-16,9.800573336495944,9.829206234830103
distilgpt2,1,64,fp32,adamw,1600.94,1738.0,1552.9860605468748,2.995361440973756,1677.2249453906247,3.4968385851194057,1552.9860605468748,2.995361440973756,1677.2249453906247,3.4968385851194057,0.65,1552.9860605468748,2.995361440973756,1677.2249453906247,3.4968385851194057,0.65,81912576,0.0,0.0,0.0,0.0
gpt2,1,32,fp32,sgd,1271.56,1388.0,1338.717142578125,5.281476499585164,1445.814513984375,4.165310805790708,1196.307083984375,5.918156910851634,1292.0116507031248,6.9155871251351,0.35,1196.307083984375,5.918156910851634,1292.0116507031248,6.9155871251351,0.35,124439808,-0.6366804112664699,-2.750276319344392,0.0,0.0
gpt2,1,64,fp32,sgd,1279.2,1422.0,1399.478767578125,9.402655376651412,1511.437068984375,6.28952665150316,1257.068708984375,1.7300884158556156,1357.634205703125,4.526427165743674,0.35,1257.068708984375,1.7300884158556156,1357.634205703125,4.526427165743674,0.35,124439808,7.6725669607957965,1.7630994857594864,0.0,0.0
gpt2,1,128,fp32,sgd,1292.34,1406.0,1521.0020175781249,17.69364235248657,1642.6821789843748,16.833725390069333,1378.591958984375,6.674091878636817,1488.879315703125,5.894688172341752,0.35,1378.591958984375,6.674091878636817,1488.879315703125,5.894688172341752,0.35,124439808,11.019550473849753,10.93903721772758,0.0,0.0
gpt2,1,32,fp32,adamw,2402.82,2616.0,2288.1175332031253,4.773660398901078,2471.166935859376,5.536432115467303,2288.1175332031253,4.773660398901078,2471.166935859376,5.536432115467303,0.65,2288.1175332031253,4.773660398901078,2471.1669358593754,5.536432115467303,0.65,124439808,0.0,0.0,0.0,0.0
gpt2,1,64,fp32,adamw,2409.59,2670.0,2348.879158203125,2.5195507035169977,2536.789490859375,4.989157645716298,2348.879158203125,2.5195507035169977,2536.789490859375,4.989157645716298,0.65,2348.879158203125,2.5195507035169977,2536.789490859375,4.989157645716298,0.65,124439808,0.0,0.0,0.0,0.0
gpt2,1,128,fp32,adamw,2422.73,2634.0,2470.402408203125,1.9677144462290508,2668.034600859375,1.2921260766657223,2470.402408203125,1.9677144462290508,2668.034600859375,1.2921260766657223,0.65,2470.402408203125,1.9677144462290508,2668.034600859375,1.2921260766657225,0.65,124439808,0.0,-2.220446049250313e-16,0.0,-2.220446049250313e-16
